Occupation Title,,Median Annual Wage 2018,Typical Entry-Level Education,Education Code,Work Experience in a Related Occupation,Typical on-the-job Training
"Coil winders, tapers, and finishers    * Coil Builder* Coil Former* Coil Winder* Motor Rewinder* Motor Winder* Multiple Coil Winder* Rotor Coil Taper* Wire Coiler* Wire Winder* Wire Winding Machine Tender",,"34,400",High school diploma or equivalent,7,None,Moderate-term on-the-job training
"Coin, vending, and amusement machine servicers and repairers    * Arcade Games Mechanic* Coin Box Collector* Juke Box Mechanic* Parking Meter Collector* Slot Machine Mechanic* Slot Technician* Stamp Machine Servicer* Vending Machine Filler",,"34,560",High school diploma or equivalent,7,None,Short-term on-the-job training
"Combined food preparation and serving workers, including fast food    * Mess Attendant",,"21,250",No formal educational credential,8,None,Short-term on-the-job training
Commercial and industrial designers    * Automobile Designer* Bank Note Designer* Bicycle Designer* Car Body Designer* Ceramic Designer* Ceramic Mold Designer* Furniture Designer* Package Designer* Rug Designer* Snowboard Designer* Textile Designer* Tile Designer* Toy Designer,,"66,590",Bachelor's degree,3,None,None
Commercial divers    * Commercial Diver* Marine Diver* Non Destructive Testing Underwater Welder* Salvage Diver* Scuba Diver* Submarine Diver* Underwater Welder,,"49,140",Postsecondary nondegree award,5,None,Moderate-term on-the-job training
Commercial pilots    * Aerial Crop Duster* Aerial Hurricane Hunter* Aerial Sprayer* Agricultural Pilot* Air Ambulance Captain* Air Tour Pilot* Balloon Pilot* Charter Pilot (Commercial Pilot Certificate Required)* Charter Pilot (Commercial)* Commercial Helicopter Pilot* Corporate Pilot* EMS Helicopter Pilot* Emergency Medical Service Helicopter Pilot* Emergency Medical Service Rotary Wing Pilot* Executive Pilot* Flight Instructor (Commercial Pilots)* Helicopter Pilot,,"82,240",High school diploma or equivalent,7,None,Moderate-term on-the-job training
"Communications equipment operators, all other    * Communications Equipment Operator* Facsimile Machine Operator* Fax Machine Operator* Telegraph and Teletype Operator* Telex Operator",,"41,050",High school diploma or equivalent,7,None,Short-term on-the-job training
"Communications teachers, postsecondary    * Interpersonal Communications Professor* Journalism Professor* Media Arts Professor* Professor of Communication and Writing* Professor of Rhetoric* Public Speaking Professor* Speech Professor",,"68,910",Doctoral or professional degree,1,None,None
"Community and social service specialists, all other    * Community Organization Worker* Veterans Service Officer",,"42,620",Bachelor's degree,3,None,None
Community health workers    * CHW* Community Health Advisor* Community Health Representative* Community Health Worker* Lay Health Advocate* Peer Health Promoter* Promotor(a),,"39,540",High school diploma or equivalent,7,None,Short-term on-the-job training
Compensation and benefits managers    * Compensation Director* Employee Benefits Coordinator* Employee Benefits Director* Employee Benefits Manager* Wage and Salary Administrator,,"121,010",Bachelor's degree,3,5 years or more,None
"Compensation, benefits, and job analysis specialists    * Benefits Analyst* Compensation Analyst* Compensation Specialist* Employee Benefits Specialist* Job Analyst* Job Specification Writer* Occupational Analyst* Pension Administrator* Position Classification Specialist* Retirement Plan Specialist",,"63,000",Bachelor's degree,3,Less than 5 years,None
Compliance officers    * Air Pollution Compliance Inspector* Compliance Investigator* Driver's License Examiner* EEO Officer* Environmental Compliance Inspector* Equal Employment Opportunity Investigator* Equal Employment Opportunity Officer* Equal Employment Opportunity Representative* Immigration Investigator* Inspector of Weights and Measures* License Inspector* Mortician Investigator* Wage and Hour Investigator,,"68,860",Bachelor's degree,3,None,Moderate-term on-the-job training
Computer and information research scientists    * Computational Theory Scientist* Computer Scientist* Control System Computer Scientist* Programming Methodology and Languages Researcher,,"118,370",Master's degree,2,None,None
Computer and information systems managers    * Application Development Director* Chief Technology Officer* Computer Operations Manager* Computer Security Manager* Data Operations Director* Data Processing Manager* Information Systems Director* Information Systems Manager* Information Technology Director* Information Technology Systems Director* Internet Technology Manager* MIS Director* Management Information Systems Director,,"142,530",Bachelor's degree,3,5 years or more,None
Computer hardware engineers    * Computer Hardware Designer* Computer Hardware Developer* Computer Hardware Engineer,,"114,600",Bachelor's degree,3,None,None
Computer network architects    * Computer Network Engineer* Network Designer* Network Developer* Network Engineer,,"109,020",Bachelor's degree,3,5 years or more,None
Computer network support specialists    * Network Diagnostic Support Specialist* Network Support Technician* Network Technician,,"62,770",Associate's degree,4,None,None
"Computer numerically controlled machine tool programmers, metal and plastic    * Metal Numerical Control Programmer* Metal Numerical Tool Programmer* Plastic Numerical Tool and Process Control Programmer* Sheet Metal Computer Numerically Controlled (CNC) Programmer",,"53,190",Postsecondary nondegree award,5,None,Moderate-term on-the-job training
"Computer occupations, all other    * Computer Laboratory Technician",,"90,270",Bachelor's degree,3,None,None
Computer operators    * Computer Peripheral Equipment Operator* Computing Machine Operator* Console Operator* Information Systems Operator,,"45,840",High school diploma or equivalent,7,None,Moderate-term on-the-job training
Computer programmers    * Applications Programmer* Computer Language Coder* Computer Programmer* Junior Software Developer* Mainframe Programmer* Systems Programmer,,"84,280",Bachelor's degree,3,None,None
"Computer science teachers, postsecondary    * C++ Professor* Computer Information Systems Professor* Computer Programming Professor* IT Professor* Information Systems Professor* Information Technology Professor* Java Programming Professor",,"82,220",Doctoral or professional degree,1,None,None
Computer systems analysts    * Applications Analyst* Computer Systems Analyst* Computer Systems Consultant* Data Processing Systems Analyst* Information Systems Analyst* Information Systems Planner* Programmer Analyst* Systems Architect,,"88,740",Bachelor's degree,3,None,None
Computer user support specialists    * Computer Customer Support Specialist* Computer Help Desk Representative* Computer Help Desk Specialist* Desktop Support Specialist* End-User Support Specialist* Help Desk Analyst* Help Desk Technician* PC Support Specialist,,"50,980","Some college, no degree",6,None,None
"Computer, automated teller, and office machine repairers    * ATM Servicer* Cash Register Servicer* Computer Repair Technician* Computer Repairer* Computer Service Technician* Copier Technician* Copying Machine Repairer* Data Processing Equipment Repairer* Photocopying Equipment Repairer* Printer Repair Technician",,"38,480","Some college, no degree",6,None,Short-term on-the-job training
"Computer-controlled machine tool operators, metal and plastic    * Computer Numerically Controlled (CNC) Shot Peening Operator* Jig Boring Machine Operator for Metal* Metal CNC Operator* Numerical Control Machine Operator, Metal and Plastic* Plastic CNC Machine Operator* Welding Robot Operator",,"40,070",High school diploma or equivalent,7,None,Moderate-term on-the-job training
Concierges    * Activities Concierge* Club Concierge* Concierge* Conference Concierge* Guest Service Supervisor* Hotel Concierge* Hotel Guest Service Agent,,"30,400",High school diploma or equivalent,7,None,Moderate-term on-the-job training
Conservation scientists    * Conservation Science Officer* Conservation Scientist* Grassland Conservationist* Land Reclamation Specialist* Land Resource Specialist* Range Conservationist* Range Ecologist* Range Scientist* Resource Conservationist* Soil Conservationist* Water Conservationist,,"61,310",Bachelor's degree,3,None,None
Construction and building inspectors    * Architectural Inspector* Bridge Inspector* Building Code Inspector* Building Inspector* Construction Inspector* Electrical Inspector* Elevator Inspector* Highway Inspector* Home Inspector* Plumbing Inspector* Public Works Inspector* Residential Building Inspector,,"59,700",High school diploma or equivalent,7,5 years or more,Moderate-term on-the-job training
Construction laborers    * Air Hammer Operator* Construction Craft Laborer* Construction Laborer* Construction Trench Digger,,"35,800",No formal educational credential,8,None,Short-term on-the-job training
Construction managers    * Construction Coordinator* Construction Superintendent* General Contractor* Masonry Contractor Administrator,,"93,370",Bachelor's degree,3,None,Moderate-term on-the-job training
Continuous mining machine operators    * Continuous Mining Machine Coal Miner* Continuous Mining Machine Lode Miner* Self-Propelled Mining Machine Operator,,"54,520",No formal educational credential,8,None,Moderate-term on-the-job training
"Control and valve installers and repairers, except mechanical door    * Air Valve Mechanic* Electric Meter Installer* Gas Meter Installer* Gas Meter Mechanic* Thermostat Repairer* Valve Mechanic* Water Meter Installer",,"56,070",High school diploma or equivalent,7,None,Moderate-term on-the-job training
Conveyor operators and tenders    * Ash Conveyor Operator* Assembly Line Tender* Chip Bin Conveyor Tender* Conveyor Belt Operator* Conveyor Tender* Grain Elevator Operator* Packing Line Operator,,"32,980",No formal educational credential,8,None,Short-term on-the-job training
"Cooks, all other    * Falafel Cart Cook* Fraternity House Cook",,"28,650",No formal educational credential,8,None,Moderate-term on-the-job training
"Cooks, fast food    * Fast Food Cook* Fast Food Fry Cook* Fryline Attendant",,"22,330",No formal educational credential,8,None,Short-term on-the-job training
"Cooks, institution and cafeteria    * Cafeteria Cook* Camp Cook* Galley Cook* Institutional Cook* Mess Cook* School Cook",,"26,860",No formal educational credential,8,None,Short-term on-the-job training
"Cooks, private household    * Certified Personal Chef* Personal Chef* Private Chef",,"37,590",Postsecondary nondegree award,5,Less than 5 years,None
"Cooks, restaurant    * Banquet Cook* Breakfast Cook* Chef De Partie* Line Cook* Saucier* Specialty Cook",,"26,530",No formal educational credential,8,Less than 5 years,Moderate-term on-the-job training
"Cooks, short order    * Griddle Attendant* Griddle Cook* Grill Cook* Short Order Fry Cook* Snack Bar Cook",,"23,800",No formal educational credential,8,None,Short-term on-the-job training
Cooling and freezing equipment operators and tenders    * Ammonia Refrigeration Worker* Chiller Operator* Chiller Tender* Freezer Operator* Refrigerating Machine Operator* Refrigeration Operator,,"32,410",High school diploma or equivalent,7,None,Moderate-term on-the-job training
Correctional officers and jailers    * Certified Detention Deputy* Convict Guard* Correction Officer* Correctional Guard* Correctional Sergeant* Detention Deputy* Detention Officer* Jail Guard* Juvenile Corrections Officer* Penal Officer* Prison Guard* Prison Officer,,"44,330",High school diploma or equivalent,7,None,Moderate-term on-the-job training
Correspondence clerks    * Claims Correspondence Clerk* Correspondence Clerk* Correspondence Representative* Correspondence Transcriber* Customer Service Correspondence Clerk* Fan Mail Editor* Medicare Correspondence Representative* Student Loan Correspondent,,"37,290",High school diploma or equivalent,7,None,Short-term on-the-job training
Cost estimators    * Construction Estimator* Construction Job Cost Estimator* Crating and Moving Estimator* Electrical Estimator* Job Estimator* Production Cost Estimator,,"64,040",Bachelor's degree,3,None,Moderate-term on-the-job training
Costume attendants    * Costume Attendant* Theatrical Wardrobe Attendant* Theatrical Wardrobe Dresser* Wardrobe Assistant* Wardrobe Attendant* Wardrobe Custodian* Wardrobe Dresser* Wardrobe Supervisor,,"41,190",High school diploma or equivalent,7,None,Short-term on-the-job training
"Counselors, all other    * AIDS Counselor* Anger Control Counselor* Grief Counselor* HIV Counselor* Sexual Assault Counselor",,"42,130",Master's degree,2,None,None
